Lat,Long,Date,FireDate,BurnID,ID,fireType,Sev4Cls,Sev5Cls,CBI_Plot,CBI_Under,CBI_Over,OzCBI_Plot,OzCBI_Under,OzCBI_Over,RBR,dNBR,NBRpre,NBRpost,siteReserve,fireHx,plotType,plotNumber,plotTag,Obs,Sev_Field,%burn,A1,A2,A3,A4,A5,CBI_A,B%cov,B1,B2,B3,B4,CBI_B,C%cov,C1,C2,C3,C4,CBI_C,D%cov,D1,D2,D3,D4,D5,CBI_D,E%cov,E1,E2,E3,E4,E5,CBI_E,firemonNotes,A1,A2,A3,A4,OzCBI_A,B%cov,B1,B2,B3,OzCBI_B,C%cov,C1,C2,C3,OzCBI_C,E.ht,E%cov,E1,E2,E3,E4,OzCBI_E,OZcbiNotes,dataNotes,missingData,rbr,dnbr,preNBR,postNBR,RdNBR
-31.561042,115.682636,18-Jan-20,11-Dec-19,SWC_057,Yanch02_plot3,WF,Hi,CB,2.958333333,2.944444444,3,,,,531.31677,655.88489,0.23345,-0.42243,YanchepNP,2002,veg,plot3,,JBF,hi,100,3,NA,3,NA,2.5,2.833333333,30,3,3,3,3,3,30,3,3,3,3,3,15,3,3,3,3,3,3,,,,,,,,tag melted; 100% canopy consumed,,,,,,,,,,,,,,,,,,,,,,,,,,429.5919833,451.6588049,0.050753737,-0.400905072,2004.825002
-31.44389,115.599585,17-Jan-20,11-Dec-19,SWC_057,WilbingaRd_CaraPB17.2,WF,Hi,CB,2.833333333,2.833333333,,,,,516.47882,667.86731,0.29212,-0.37575,CarabanWest,,CBI,CaraPB17.2,,"JBF, LLW",very high severy,100,3,NA,NA,NA,2,2.5,30,3,3,3,3,3,30,3,3,3,3,3,0,,,,,,,0,,,,,,,"coastal heath, very high severity; Caraban State Forest, west end of Wilbinga Rd",,,,,,,,,,,,,,,,,,,,,,,,,,505.7153135,649.4388458,0.283152964,-0.366285867,1220.471679
-31.561752,115.683186,16-Jan-20,11-Dec-19,SWC_057,Yanch05_plot1,WF,Hi,CB,2.825,2.833333333,2.8,,,,515.78918,611.37335,0.18432,-0.42706,YanchepNP,2005,veg,plot1,,JBF,hi,100,3,NA,3,NA,1.5,2.5,25,3,3,3,3,3,20,3,3,3,3,3,15,3,2.5,2.5,3,3,2.8,,,,,,,,high severity; 90% canopy consumed; tag partial melt,,,,,,,,,,,,,,,,,,,,,,,,,,432.6981798,437.6235452,0.010512182,-0.42711137,4268.293143
-31.563253,115.682267,16-Jan-20,11-Dec-19,SWC_057,Yanch05_plot5,WF,Hi,CB,2.64375,2.791666667,2.2,,,,511.45087,613.0592,0.19767,-0.41539,YanchepNP,2005,veg,plot5,,JBF,hi,100,3,NA,3,NA,1.5,2.5,25,3,3,3,3,3,15,2.5,3,3,3,2.875,15,3,1,2.5,3,1.5,2.2,0,,,,,,,high severity; Banksia canopy; scorch but not consumed; tag intact.,,,,,,,,,,,,,,,,,,,,,,,,,,413.2552022,416.8220727,0.007570078,-0.409252002,4790.717057
-31.561792,115.681098,18-Jan-20,11-Dec-19,SWC_057,Yanch02_plot7,WF,Hi,CB,2.916666667,2.888888889,3,,,,508.19061,592.82813,0.16555,-0.42728,YanchepNP,2002,veg,plot7,,JBF,hi,100,3,NA,3,NA,2,2.666666667,40,3,3,3,3,3,10,3,3,3,3,3,10,3,3,3,3,3,3,,,,,,,,tag melted; 100% canopy consumed,,,,,,,,,,,,,,,,,,,,,,,,,,421.216637,417.7153523,-0.009365365,-0.427080723,4316.364173
-31.563788,115.686164,16-Jan-20,11-Dec-19,SWC_057,Yanch05_CBI4,WF,Hi,CB,2.835,2.825,2.85,,,,494.65399,799.14221,0.61456,-0.18458,YanchepNP,2005,CBI,CBI4,,JBF,mod hi,100,3,3,3,2,2,2.6,2,3,2.5,3,3,2.875,15,3,3,3,3,3,35,3,3,2.5,3,3,2.9,15,3,2.5,2.5,3,3,2.8,under Euc canopy; up to 20-25m; midstory consumed; canopy scorch not consumed.,,,,,,,,,,,,,,,,,,,,,,,,,,403.8784567,550.9762769,0.362876816,-0.188099468,914.6465254
-31.561445,115.682399,18-Jan-20,11-Dec-19,SWC_057,Yanch02_plot2,WF,Hi,CB,2.891666667,2.888888889,2.9,,,,486.10965,556.03998,0.14286,-0.41318,YanchepNP,2002,veg,plot2,,JBF,hi,100,3,NA,3,NA,2,2.666666667,30,3,3,3,3,3,15,3,3,3,3,3,20,3,2.5,3,3,3,2.9,,,,,,,,tag melted; 90% canopy consumed,,,,,,,,,,,,,,,,,,,,,,,,,,416.6259338,419.523501,0.005565744,-0.41395776,5623.344628
-31.5621,115.682687,18-Jan-20,11-Dec-19,SWC_057,Yanch05_plot2,WF,Hi,CB,2.775,2.833333333,2.6,,,,482.9903,566.79974,0.17252,-0.39428,YanchepNP,2005,veg,plot2,,JBF,hi?,100,3,NA,3,NA,1.5,2.5,40,3,3,3,3,3,5,3,3,3,3,3,20,3,2,2.5,3,2.5,2.6,,,,,,,,tag partial melt; 80% canopy consumed.,,,,,,,,,,,,,,,,,,,,,,,,,,398.7626685,395.5450509,-0.009168367,-0.404713414,4130.950223
-31.562997,115.685998,16-Jan-20,11-Dec-19,SWC_057,Yanch05_CBI5,WF,Hi,CB,2.82,2.866666667,2.75,,,,479.19055,758.03424,0.58091,-0.17713,YanchepNP,2005,CBI,CBI5,,JBF,hi,100,3,3,3,2,2,2.6,15,3,3,3,3,3,5,3,3,3,3,3,15,3,2,2,3,3,2.6,30,3,3,2.5,3,3,2.9,"high severity; under Eucs; midstory consumed, overstory scorch.",,,,,,,,,,,,,,,,,,,,,,,,,,400.2523863,559.3792069,0.395990599,-0.163388622,888.9224637
-31.547332,115.666661,20-Jan-20,11-Dec-19,SWC_057,Yanch91_plot6,WF,Hi,CB,2.581666667,2.569444444,2.6,,,,474.33032,556.36005,0.17194,-0.38442,YanchepNP,1991,veg,plot6,,JBF,H,100,3,NA,1,NA,1.5,1.833333333,303,3,3,3,3,3,10,2.5,3,3,3,2.875,10,3,2.5,3,3,3,2.9,,3,0,2.5,3,3,2.3,"High Sev, One big Tuart to North",,,,,,,,,,,,,,,,,,,,,,,,,,395.6121785,403.657237,0.01931616,-0.384341067,2904.372735
-31.408313,115.746806,2-May-21,11-Jan-21,SWC_XXX,RedwoodRd2005_CBI5,WF,Hi,CB,2.895833333,2.944444444,2.75,2.625,2.5,3,474.142,626.18188,0.31966,-0.30652,YealNR,2005,CBI,CBI5,na,JBF,hi sev,100,3,2.75,2.75,,,2.833333333,25,3,3,3,3,3,10,3,3,3,3,3,70,3,2,2.75,3,3,2.75,,,,,,,,mela swamp ~7.5m canopy.very hi sev.,3,,3,,3,,3,,,3,,,,1.5,1.5,,,,,,3,3,,,,,,,,
-31.358044,115.591986,17-Jan-20,11-Dec-19,SWC_057,CaraWestPB_hs2_south,WF,Hi,CB,2.735416667,2.847222222,2.4,,,,467.20483,557.16083,0.19154,-0.36562,CarabanWest,2015.05,CBI,hs2_south,,"JBF, LLW",high sev,100,3,NA,3,NA,2,2.666666667,35,3,3,3,3,3,5,2.5,3,3,3,2.875,20,3,1,2.5,3,2.5,2.4,,,,,,,,"100% canopy death, 10% canopy consumption",,,,,,,,,,,,,,,,,,,,,,,,,,445.2356682,516.186603,0.158141592,-0.358045007,1298.026847
-31.409292,115.748772,2-May-21,11-Jan-21,SWC_XXX,RedwoodRd2005_CBI3,WF,Hi,CB,2.96875,2.958333333,3,2.6875,2.583333333,3,465.46683,510.92371,0.09666,-0.41427,YealNR,2005,CBI,CBI3,na,JBF,hi sev,100,3,3,3,,,3,15,3,3,3,3,3,10,2.5,3,3,3,2.875,40,3,3,3,3,,3,,,,,,,,mela & nuyt 6m canopy: canopy consumption.,3,,3,,3,,3,,,3,,,2.5,1,1.75,,,,,,3,3,,,,,,,,
-31.409054,115.752648,2-May-21,11-Jan-21,SWC_XXX,RedwoodRd2005_CBI2,WF,Hi,CB,2.825,2.916666667,2.55,2.75,2.75,2.75,464.65744,526.12549,0.13129,-0.39484,YealNR,2005,CBI,CBI2,na,JBF,hi sev,100,3,,2.5,,,2.75,10,3,3,3,3,3,30,3,3,3,3,3,20,3,1.75,2.5,3,2.5,2.55,,,,,,,,canopy consumption. Scortch in tall euctod. This should have higher dNBR w bigger trees.,2.75,,3,,2.875,,3,,,3,,,2.5,2.25,2.375,,,,,,2.75,2.75,,,,,,,,
