"","id","Veg.Type","BURNID","OzCBI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"34","SWC052-YBWcbi3","Perth","SWC052",2.3,0.40316742081448,8,-20.5,0.218354430379747,0.259376986649714,0.295208086912441,"VH","VH",0
"35","SWC052-YBWcbi2","Perth","SWC052",2.5,0.431793537193667,10,-21.5,0.265123456790123,0.27403490818125,0.318121704640215,"VH","VH",0
"36","SWC052-YealNR1986veg1","Perth","SWC052",2.354166667,0.290790088826554,6,-31.5,0.186134453781513,0.131629701060752,0.232946674311712,"VH","VH",0
"37","SWC052-YealNR1986veg2","Perth","SWC052",2.34375,0.27470263804904,5,-31.5,0.154548776032152,0.115043047928954,0.223567629938139,"VH","H",-1
"38","SWC052-YealNR1986veg3","Perth","SWC052",2.371875,0.320075757575758,4,-34,0.211764705882353,0.147669977081742,0.260188937197473,"VH","VH",0
"39","SWC052-YealNR1986veg4","Perth","SWC052",2.491666667,0.318881118881119,2,-35,0.201871216290589,0.137100737100737,0.265513004896852,"VH","VH",0
"40","SWC052-YealNR1986cbi1","Perth","SWC052",0.725791667,0.213862765586904,5,-8.5,0.0424050632911392,0.120875912408759,0.169012332119693,"M","H",1
"41","SWC052-YealNR2006veg2","Perth","SWC052",0.96875,0.197857475547275,0,-13,0.105626598465473,0.0937821411874708,0.15916389497431,"M","H",1
"42","SWC052-YealNR2006veg3","Perth","SWC052",1.420833333,0.150867488056324,0,-14.5,0.0655813953488372,0.0518611822959649,0.128260570755265,"H","H",0
"43","SWC052-YealNR2006veg4","Perth","SWC052",1.783333333,0.257020757020757,0,-23,0.130833333333333,0.11817812943802,0.211489984617997,"H","H",0
"44","SWC052-YealNR2006veg5","Perth","SWC052",0.2375,0.0628056628056628,1,-2.5,0.0139556165637154,0.0172077922077922,0.0540075721272233,"L","U",-1
"45","SWC052-YealNR2006cbi2","Perth","SWC052",2.458333333,0.431793537193667,10,-21.5,0.265123456790123,0.27403490818125,0.318121704640215,"VH","VH",0
"46","SWC052-YealNR2006cbi3","Perth","SWC052",2.230208333,0.40316742081448,8,-20.5,0.218354430379747,0.259376986649714,0.295208086912441,"VH","VH",0
"47","SWC052-YealNR2012.2006veg1","Perth","SWC052",0.166666667,0.0433815350389322,0,-5,0.0122192273135669,0.031638418079096,0.0369703639874528,"L","U",-1
"48","SWC052-YealNR2012.2006veg6","Perth","SWC052",1.433333333,0.167314517491972,0,-15.5,0.0950734658599827,0.0611218568665377,0.137425236853784,"H","H",0
"49","SWC052-YealNR1993veg5","Perth","SWC052",1.416666667,0.187741935483871,2,-14.5,0.0979408940573989,0.0691472868217054,0.153760798922089,"H","H",0
"50","SWC052-YealNR1993veg6","Perth","SWC052",1.364583333,0.220719959438905,1,-18,0.113636363636364,0.112968591691996,0.178271197994736,"M","H",1
"51","SWC052-YealNR1993veg7","Perth","SWC052",2.310416667,0.204639602319801,2,-26,0.118681318681319,0.0828560385115429,0.173795935426718,"VH","H",-1
"52","SWC052-YealNR1993cbi1","Perth","SWC052",1.385416667,0.27906976744186,1,-15,0.121816827997022,0.12468112244898,0.218011372926621,"M","H",1
"53","SWC052-YealNR1993cbi2","Perth","SWC052",1.483333333,0.271805752003772,3,-13.5,0.112685560053981,0.147502903600465,0.215222683612202,"H","H",0
"54","SWC052-YealNR1993cbi3","Perth","SWC052",1.339583333,0.283128636069813,1,-20,0.155485098287888,0.143785389399424,0.221935428951021,"M","H",1
"55","SWC052-Yeal2001_CBI4","Perth","SWC052",0,0.0983346550356859,-2,-10.5,0.0266373411534702,0.0299480739041179,0.0835995822717647,"U","M",2
"56","SWC052-Yeal2001_CBI5","Perth","SWC052",0,0.0955623652252866,-1,-10.5,0.038127192313558,0.0633941661190031,0.0833101558938819,"U","M",2
"57","SWC052-ub22","Perth","SWC052",0,0.125,1,-6.5,0.0217391304347826,0.0851252712566581,0.090843023255814,"U","M",2
"58","SWC052-ub24","Perth","SWC052",0,0.0900178253119429,-4,-8.5,0.00116279069767439,0.0467532467532467,0.0732881413982216,"U","U",0
"59","SWC051-KBWcbi11","Perth","SWC051",1.6,0.193982747738271,10,-12,0.122525414660246,0.098868374032162,0.16374364139219,"H","M",-1
"60","SWC051-KBWcbi4","Perth","SWC051",1.7,0.166345783596457,8,-6,0.0800865800865801,0.0790368779090584,0.138036942136639,"H","M",-1
"61","SWC051-KBWcbi10","Perth","SWC051",1.8,0.210309278350515,12,-12,0.148595590456056,0.115158636897767,0.175111805454218,"H","H",0
"62","SWC051-KBWcbi9","Perth","SWC051",1.8,0.232586736934563,12,-13,0.156211051100956,0.118308192842354,0.198331483962151,"H","H",0
"63","SWC051-KBWcbi2","Perth","SWC051",2.2,0.290646326776395,15,-10.5,0.149928263988522,0.152895752895753,0.235333046643075,"VH","VH",0
"64","SWC051-KBWcbi8","Perth","SWC051",2.2,0.277227722772277,14,-20.5,0.188235294117647,0.124901960784314,0.237085206729833,"VH","VH",0
"65","SWC051-KBWcbi1","Perth","SWC051",2.3,0.368321513002364,19,-16.5,0.218650793650794,0.175599245892809,0.303453487670011,"VH","VH",0
"66","SWC051-KBWcbi5","Perth","SWC051",2.4,0.416704805491991,21,-22,0.240030971738289,0.200234741784038,0.340987609472752,"VH","VH",0
"67","SWC051-KBWcbi7","Perth","SWC051",2.5,0.480509745127436,24,-19,0.249512670565302,0.209032773780975,0.387467101564738,"VH","VH",0
"68","SWC051-KBWcbi6","Perth","SWC051",2.5,0.460077785403798,22,-22,0.25986642380085,0.226923545909036,0.379049834592152,"VH","VH",0
"69","SWC051-KBWcbi3","Perth","SWC051",2.6,0.44994944388271,23,-21,0.259826782145237,0.212013661019219,0.369297976993981,"VH","VH",0
"70","SWC051-KooianaRd2008cbi1","Perth","SWC051",2.125,0.368321513002364,19,-16.5,0.218650793650794,0.175599245892809,0.303453487670011,"VH","VH",0
"71","SWC051-KooianaRd2008cbi3","Perth","SWC051",2.625,0.44994944388271,23,-21,0.259826782145237,0.212013661019219,0.369297976993981,"VH","VH",0
"72","SWC051-KooianaRd2008cbi4","Perth","SWC051",1.536458333,0.166345783596457,8,-6,0.0800865800865801,0.0790368779090584,0.138036942136639,"H","M",-1
"73","SWC051-KooianaRd2008cbi5","Perth","SWC051",2.458333333,0.416704805491991,21,-22,0.240030971738289,0.200234741784038,0.340987609472752,"VH","VH",0
