"","id","Veg.Type","BURNID","OzCBI","preNBR","preNDVI","preNIR","prei35","preNDWI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"1","SWC046-MBWcbi2","Dandaragan Plateau","SWC046",1.1,-0.0596125186289121,0.363271604938272,687.666666666667,1488.83333333333,-0.217329671303269,0.205499043237214,238.333333333333,-362.666666666667,0.115675072235356,0.0861404815372574,0.218293792199057,"M","U",-2
"2","SWC046-MBWcbi1","Dandaragan Plateau","SWC046",2.2,0.0138093139415308,0.399371388015817,740.5,1533.25,-0.148287565566183,0.309077095182676,296,-579.625,0.199020993822349,0.152429431481476,0.304566671724973,"VH","M",-2
"3","SWC046-MogumberRd1990veg1","Dandaragan Plateau","SWC046",1.65625,0.141501976284585,0.494630611980851,651,1369.5,-0.040531561461794,0.291895472782034,144,-546.666666666667,0.226557608899552,0.203252596801619,0.255487936862287,"H","M",-1
"4","SWC046-MogumberRd1990veg2","Dandaragan Plateau","SWC046",1.114583333,0.0706398426864317,0.403529645052548,752,1464,-0.10302876694969,0.221267457749193,159.5,-461.5,0.153263404370972,0.124966274186341,0.206475579700836,"M","M",0
"5","SWC046-MogumberRd1990veg3","Dandaragan Plateau","SWC046",1.433333333,0.047295142948241,0.446564885496183,628.333333333333,1382.16666666667,-0.13065725628584,0.269938974350149,133.666666666667,-566.166666666667,0.21302027311198,0.155156643148575,0.257502837980312,"H","M",-1
"6","SWC046-MogumberRd1990veg4","Dandaragan Plateau","SWC046",1.058333333,0.0567711858034439,0.32848095283108,888,1537,-0.108870712066451,0.189530901689567,218.25,-538.25,0.106364651591805,0.100243543985131,0.179179490076208,"M","M",0
"7","SWC046-MogumberRd1990veg5","Dandaragan Plateau","SWC046",1.867708333,-0.0156116945784842,0.328396322778345,876.666666666667,1639.83333333333,-0.161711385061639,0.197644789571372,221,-630.5,0.140423442754763,0.0962727598987236,0.200575538073619,"H","M",-1
"8","SWC046-MogumberRd1990veg6","Dandaragan Plateau","SWC046",1.672916667,0.014030612244898,0.422818791946309,645,1433,-0.165573340330622,0.253784161668954,149.5,-845.25,0.257706009991422,0.10138638403673,0.250026116067249,"H","M",-1
"9","SWC046-MogumberRd1990veg7","Dandaragan Plateau","SWC046",1.460416667,0.0314560751913894,0.527387009877282,526.333333333333,1387.66666666667,-0.13873417721519,0.253028413054799,102,-501.208333333333,0.218956476878611,0.131912368429845,0.24507426430504,"H","M",-1
"10","SWC046-MogumberRd1990cbi1","Dandaragan Plateau","SWC046",2.09375,0.0808457711442786,0.490406260049309,594.25,1359.375,-0.100064724919094,0.376113552385423,149.75,-753.5,0.290055865855841,0.200652272128565,0.347659123340293,"VH","VH",-1
"11","SWC046-MogumberRd1990cbi2","Dandaragan Plateau","SWC046",1.102083333,-0.0260869565217391,0.4,624,1383,-0.190661478599222,0.239024605344387,130.333333333333,-468.5,0.152403467297084,0.112808674241305,0.24517530762703,"M","M",0
"12","SWC046-RedGully1978_CBI1","Dandaragan Plateau","SWC046",2.576041667,0.208080307349114,0.594373568858358,413.333333333333,1048.66666666667,-0.0179327019947612,0.697502028082541,-97,-763.666666666667,0.421270679309344,0.406030431645792,0.576886434956336,"VH","VH",-1
"13","SWC046-RedGully1978_CBI2","Dandaragan Plateau","SWC046",1.620833333,0.0338789493719071,0.456300268096515,507,1196,-0.162503854455751,0.310522515582808,-68.5,-459,0.219200623968401,0.141657712251716,0.300056847973641,"H","M",-1
"14","SWC046-RedGully1978_CBI3","Dandaragan Plateau","SWC046",1.367708333,0.0858995137763371,0.451787648970748,590.333333333333,1264.66666666667,-0.1072618254497,0.299621640706011,-105,-551.666666666667,0.241369378506288,0.150029166125154,0.275666367413306,"M","M",0
"15","SWC046-RedGully1978_plot1","Dandaragan Plateau","SWC046",1.841666667,-0.0380846894436398,0.407379705809025,594.25,1365.125,-0.204313200366481,0.303088636762427,-76.5,-730.375,0.190605512260638,0.123566826900049,0.314761468054035,"H","VH",0
"16","SWC046-RedGully1978_plot2","Dandaragan Plateau","SWC046",2.429166667,0.119230769230769,0.530236634531113,446.666666666667,1134.83333333333,-0.112263575350824,0.5696967685404,-88.9999999999999,-741.166666666667,0.336083297520633,0.279223349634861,0.508553044772725,"VH","VH",-1
"17","SWC046-RedGully1978_plot3","Dandaragan Plateau","SWC046",2.56875,0.114149008885851,0.51950992142762,451,1123,-0.114474194800155,0.555117727352047,-111.25,-935,0.336113055692762,0.261651931325971,0.497796906896475,"VH","VH",-1
"18","SWC046-RedGully1978_plot4","Dandaragan Plateau","SWC046",2.385416667,0.0246448245868368,0.459325533379215,491,1200.875,-0.18093325092707,0.427636339041029,-221.75,-1034.875,0.280512553669511,0.158552786148274,0.416943886216454,"VH","VH",-1
"19","SWC046-RedGully1978_plot5","Dandaragan Plateau","SWC046",2.254166667,0.0319500550863019,0.49706979222163,472,1226.5,-0.170112226816302,0.463285885298537,-123,-808,0.306648336282933,0.207312079029937,0.448507537239862,"VH","VH",-1
"20","SWC046-RedGully1978_plot6","Dandaragan Plateau","SWC046",2.460416667,0.149328859060403,0.556818181818182,455,1128,-0.0596195332418121,0.617151466596248,-94.3333333333334,-808.333333333333,0.387883768119971,0.342128422777359,0.536500029304961,"VH","VH",-1
"21","SWC046-RedGully1978_plot7","Dandaragan Plateau","SWC046",2.551041667,0.0440920036535747,0.430651951302765,625.5,1359.25,-0.142233440207381,0.441518195932152,-127,-1124.875,0.289646248866269,0.180529341136884,0.422468255798181,"VH","VH",-1
