"","id","Veg.Type","BURNID","OzCBI","preNBR","preNDVI","preNIR","prei35","preNDWI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"1","PHS136-ChuB1","Northern Jarrah Forest","PHS136",2,0.660684662946765,0.747936507936508,264.666666666667,582.333333333333,0.341944918352425,0.135744759100611,152.666666666667,-107.166666666667,0.0581554860386977,0.0826397074343109,0.0816910465189508,"H","U",-3
"2","PHS136-ChuB7","Northern Jarrah Forest","PHS136",2.1,0.358369956052737,0.652892561983471,357,914.5,0.0718789407313997,0.299173606705544,181.333333333333,-242.166666666667,0.210488555305675,0.216433396176944,0.220082550282535,"VH","VH",0
"3","PHS136-ChuB3","Northern Jarrah Forest","PHS136",2.2,0.44080604534005,0.681254082299151,325.333333333333,753.666666666667,0.184265010351967,0.538689643223648,195.333333333333,-387.833333333333,0.298217559510138,0.448028954216666,0.373621434703166,"VH","VH",0
"4","PHS136-ChuB3OP","Northern Jarrah Forest","PHS136",2.2,0.531978931527464,0.721533258173619,329.333333333333,796.666666666667,0.233939393939394,0.283522353121647,159.333333333333,-238.166666666667,0.147309047941581,0.206619457159082,0.184948629945713,"VH","H",-1
"5","PHS136-ChuB5","Northern Jarrah Forest","PHS136",2.3,0.531953428201811,0.713996236792589,329.333333333333,778.666666666667,0.232899531494014,0.51972101229967,144,-350.166666666667,0.301547792848082,0.379806747988859,0.339032486400657,"VH","VH",0
"6","PHS136-ChuB2OP","Northern Jarrah Forest","PHS136",2.3,0.444623734780695,0.651794699765179,346,801,0.132995858260469,0.201535655010337,232.333333333333,-84.1666666666666,0.0597661229650291,0.116565963263558,0.139410864778663,"VH","H",-1
"7","PHS136-ChuB2","Northern Jarrah Forest","PHS136",2.4,0.452456612075287,0.635562895678503,331,716.5,0.148212560386473,0.36233780593214,252,-80,0.171832325730316,0.29223986414074,0.249293857774526,"VH","VH",0
"8","PHS136-ChuB6","Northern Jarrah Forest","PHS136",2.4,0.534769230769231,0.718340912222682,340.666666666667,813.708333333333,0.235234392412273,0.411237881257866,93.6666666666667,-256.916666666667,0.206419453597156,0.323233963538335,0.267773225963048,"VH","VH",0
"9","PHS136-ChuB5OP","Northern Jarrah Forest","PHS136",2.4,0.519232795868901,0.714013950538998,300.666666666667,730.958333333333,0.216232177507804,0.443701292196694,157,-311.625,0.309896066001251,0.355341088398893,0.291864044376896,"VH","VH",0
"10","PHS136-ChuB6OP","Northern Jarrah Forest","PHS136",2.4,0.444839857651246,0.637341299477222,404.666666666667,886.333333333333,0.143661971830986,0.408619385210301,186,-232.5,0.252369714547733,0.275789290356289,0.282617319648456,"VH","VH",0
"11","PHS136-ChuB7OP","Northern Jarrah Forest","PHS136",2.4,0.431614989537759,0.653339191564148,394.5,915.25,0.134287867370008,0.390655948578718,133,-298.75,0.285166922656585,0.272703610713814,0.272687324530065,"VH","VH",0
"12","PHS136-ChuB1OP","Northern Jarrah Forest","PHS136",2.6,0.350780532598714,0.628112894299945,336,801,0.0748995250274023,0.142183819577223,196,-151.25,0.122996127047255,0.0745507283758501,0.105182621104835,"VH","H",-1
"13","PHS136-ub117","Northern Jarrah Forest","PHS136",0,0.527657905060808,0.752475247524752,275,727,0.245681381957774,0.0125527425369075,104,-138.5,0.0723533891850724,0.0147290010053925,0.00821160999812328,"U","U",0
