"","id","Veg.Type","BURNID","OzCBI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"35","PHS141-M53","Northern Jarrah Forest","PHS141",2.5,0.457010721042674,13,-16.5,0.176190476190476,0.437457741717377,0.283340134452323,"H","H",0
"36","PHS141-M54","Northern Jarrah Forest","PHS141",2.5,0.362412761714855,5,-16.5,0.113973458235753,0.369202226345083,0.222596039321422,"H","H",0
"37","PHS141-M56OP","Northern Jarrah Forest","PHS141",2.5,0.448961156278229,21,-18,0.261904761904762,0.455677655677656,0.274569403908167,"H","H",0
"38","PHS141-M55","Northern Jarrah Forest","PHS141",2.6,0.363532546631138,11,-16,0.143325143325143,0.424866113619658,0.222370883431786,"VH","H",-1
"39","PHS141-M56","Northern Jarrah Forest","PHS141",2.7,0.544962080173348,25,-17.5,0.222222222222222,0.509660674805345,0.337148767061035,"VH","H",-1
"40","PHS141-M62OP","Northern Jarrah Forest","PHS141",2.8,0.262816488805189,42,-4,0.12,0.235777126099707,0.154970295920469,"VH","H",-1
"41","PHS141-ub138","Northern Jarrah Forest","PHS141",0,0.175690102180875,8,-13.5,0.0653658536585365,0.236925838296484,0.106700682449044,"U","U",0
"42","PHS141-ub139","Northern Jarrah Forest","PHS141",0,0.134676564156946,14,-9.5,0.0811296534017971,0.198956975228162,0.0793778278351166,"U","U",0
"43","PHS141-ub140","Northern Jarrah Forest","PHS141",0,0.213920817369093,27,-9.5,0.111067193675889,0.284126984126984,0.126866739933787,"U","H",3
"44","PHS141-ub141","Northern Jarrah Forest","PHS141",0,0.111538461538462,10,-8,0.0653614457831325,0.193200215866163,0.0675581232819271,"U","U",0
"45","PHS141-ub142","Northern Jarrah Forest","PHS141",0,0.140646976090014,7,-8,0.0560162728837428,0.208462332301342,0.0828698835098048,"U","U",0
"46","PHS141-ub143","Northern Jarrah Forest","PHS141",0,0.112650602409639,11,-5,0.0697674418604651,0.158511722731906,0.0677128973153828,"U","U",0
"47","PHS141-ub144","Northern Jarrah Forest","PHS141",0,0.182359065893202,10,-9,0.0310160427807487,0.209486166007905,0.112883829188904,"U","U",0
"48","PHS141-ub145","Northern Jarrah Forest","PHS141",0,0.130640207890385,22,-4.5,0.0705496308449548,0.219715956558062,0.0748183692761411,"U","U",0
"49","PHS141-ub146","Northern Jarrah Forest","PHS141",0,0.161771250556297,27,-5,0.0854462710132814,0.258361420793363,0.0920195623210397,"U","U",0
"50","PHS137-GE2","Northern Jarrah Forest","PHS137",1.9,0.3,-3,-21,0.0756634669678148,0.279136233724992,0.199866755496336,"M","H",1
"51","PHS137-GB19","Northern Jarrah Forest","PHS137",1.9,0.319548872180451,16,-8,0.112489660876758,0.323232323232323,0.198939302448592,"M","H",1
"52","PHS137-GB18","Northern Jarrah Forest","PHS137",1.9,0.245341614906832,27,-2,0.0890151515151515,0.285919540229885,0.146480210338165,"M","H",1
"53","PHS137-GE3","Northern Jarrah Forest","PHS137",2.2,0.415199258572753,24,-19,0.224964539007092,0.484291725105189,0.245200125446136,"H","H",0
"54","PHS137-GE4","Northern Jarrah Forest","PHS137",2.2,0.301393728222997,11,-13.5,0.08,0.345238095238095,0.181613187006994,"H","H",0
"55","PHS137-GE5","Northern Jarrah Forest","PHS137",2.2,0.301120448179272,12,-13,0.0899841017488076,0.323872875092387,0.188643817659518,"H","H",0
"56","PHS137-GB14","Northern Jarrah Forest","PHS137",2.3,0.244176706827309,16,-7,0.0643405889884763,0.297423450336072,0.142639630826113,"H","H",0
"57","PHS137-GB15","Northern Jarrah Forest","PHS137",2.3,0.225452196382429,20,-5.5,0.0681637203376333,0.308843537414966,0.132722429862471,"H","U",-3
"58","PHS137-GB16","Northern Jarrah Forest","PHS137",2.3,0.306763285024155,13,-9.5,0.118095238095238,0.333034513671,0.190286688622055,"H","H",0
"59","PHS137-GE1","Northern Jarrah Forest","PHS137",2.3,0.372264568477994,28,-11,0.164302916778164,0.38607192781802,0.222317930205386,"H","H",0
"60","PHS137-GB17","Northern Jarrah Forest","PHS137",2.3,0.301003344481605,29,-3.5,0.121052631578947,0.329600597237775,0.177760572310038,"H","H",0
"61","PHS137-GB20","Northern Jarrah Forest","PHS137",2.3,0.332384566729918,32,-1.5,0.128756830601093,0.325886524822695,0.200604600506722,"H","H",0
"62","PHS137-GB11","Northern Jarrah Forest","PHS137",2.4,0.343333333333333,17,-8,0.0865800865800865,0.330097087378641,0.207954774883909,"H","H",0
"63","PHS137-GB12","Northern Jarrah Forest","PHS137",2.4,0.343728343728344,16,-10,0.0840525328330207,0.361666355314777,0.209331897834217,"H","H",0
"64","PHS137-GB13","Northern Jarrah Forest","PHS137",2.4,0.216666666666667,23,-2,0.05819774718398,0.251700680272109,0.128213557761852,"H","U",-3
"65","PHS137-ub130","Northern Jarrah Forest","PHS137",0,0.102117061021171,-2,-6,-0.0571428571428572,0.161677344205009,0.062366757605512,"U","U",0
"66","PHS137-ub131","Northern Jarrah Forest","PHS137",0,0.0943438408227141,-3,-7,-0.0669380370872908,0.179292929292929,0.0593991982234291,"U","U",0
"67","PHS137-ub132","Northern Jarrah Forest","PHS137",0,0.126038280967858,-1,-7,-0.0477192982456141,0.193146417445483,0.0745285535118217,"U","U",0
"68","PHS137-ub133","Northern Jarrah Forest","PHS137",0,0.153890824622532,8,-7,-0.00174825174825177,0.228607918263091,0.0909801896645131,"U","U",0
"69","PHS137-ub134","Northern Jarrah Forest","PHS137",0,0.139465472798806,14,-3,0.00663166620613431,0.192002442002442,0.0834458187840921,"U","U",0
"70","PHS137-ub135","Northern Jarrah Forest","PHS137",0,0.206741573033708,10,-8,0.0343531937734836,0.21908755877494,0.129132775161591,"U","U",0
"71","PHS137-ub136","Northern Jarrah Forest","PHS137",0,0.170715249662618,5,-8.5,-0.0361111111111112,0.267454954954955,0.102909030857253,"U","U",0
"72","PHS137-ub137","Northern Jarrah Forest","PHS137",0,0.134300710095709,3,-7.5,-0.0250231696014829,0.214736842105263,0.0803288645247237,"U","U",0
"73","PHS183-JL04","Northern Jarrah Forest","PHS183",0.5,-0.00147058823529411,8,2.5,0.02210433244916,-0.0149532710280374,-0.000905239526378677,"U","U",0
"74","PHS183-JU03","Northern Jarrah Forest","PHS183",0.5,-0.0557614826752619,11,11.5,-0.0124223602484472,-0.142148760330579,-0.0370045362641782,"U","U",0
"75","PHS183-JU04","Northern Jarrah Forest","PHS183",1.6,0.11028522039758,26,7.5,0.129411764705882,0.0442949257078778,0.068120291038071,"M","L",-1
"76","PHS183-JM03","Northern Jarrah Forest","PHS183",1.7,0.241984271022384,25,0,0.169082125603865,0.125,0.176705528630051,"M","M",0
"77","PHS183-JU01","Northern Jarrah Forest","PHS183",1.9,0.12809724170173,25,11,0.107672469374597,0.024113475177305,0.0826760736348113,"M","U",-2
"78","PHS183-JH05","Northern Jarrah Forest","PHS183",2,0.284268363215732,23,-8,0.194137575489763,0.302400468384075,0.174679224616159,"M","H",1
"79","PHS183-HLM02","Northern Jarrah Forest","PHS183",2,0.393407070049881,37,-1,0.381395348837209,0.377235772357724,0.251503928327758,"M","H",1
"80","PHS183-JH04","Northern Jarrah Forest","PHS183",2,0.197791164658634,18,-0.5,0.139850869925435,0.135172413793103,0.12243660021529,"M","M",0
"81","PHS183-JL02","Northern Jarrah Forest","PHS183",2,0.117848970251716,18,7,0.0524628388225007,0.0332167832167832,0.0752443248976896,"M","U",-2
"82","PHS183-JL01","Northern Jarrah Forest","PHS183",2.1,0.299641577060932,32,-0.5,0.260133309313637,0.276695652173913,0.18459676867331,"H","H",0
"83","PHS183-JU05","Northern Jarrah Forest","PHS183",2.1,0.235119047619048,21,-2,0.134166666666667,0.178857142857143,0.154497238606318,"H","H",0
"84","PHS183-HH04","Northern Jarrah Forest","PHS183",2.2,0.462028985507246,31,-15.5,0.345896656534954,0.442665255078409,0.287028783909102,"H","H",0
"85","PHS183-JM04","Northern Jarrah Forest","PHS183",2.3,0.359905020352782,29,-5.5,0.262172284644195,0.334848484848485,0.222901594723304,"H","H",0
"86","PHS183-JL03","Northern Jarrah Forest","PHS183",2.3,0.459935897435897,32,-11,0.317820324005891,0.392197374817696,0.294170705107705,"H","H",0
"87","PHS167-GWU3","Northern Jarrah Forest","PHS167",0.5,0.148717948717949,16,7,0.0843091334894613,0.0330940988835726,0.105379821581061,"U","M",2
"88","PHS167-GWU2","Northern Jarrah Forest","PHS167",1,0.213875386654883,22,12,0.0698412698412699,0.0468369829683698,0.15057884186826,"L","H",2
"89","PHS167-GWL3","Northern Jarrah Forest","PHS167",1.2,0.252380952380952,19,5,0.16007326007326,0.0869565217391304,0.173650928868648,"L","M",1
"90","PHS167-GHU1","Northern Jarrah Forest","PHS167",1.3,0.145903479236813,19,6.5,0.122563793449869,0.0548045305078553,0.107358961293791,"L","M",1
"91","PHS167-GWM3","Northern Jarrah Forest","PHS167",1.5,0.265671641791045,23,1.5,0.19549929676512,0.1995597945708,0.189630008416163,"M","H",1
"92","PHS167-GWL2","Northern Jarrah Forest","PHS167",1.7,0.201160541586073,13,4.5,0.0797101449275363,0.0454772613693153,0.14534944662391,"M","H",1
"93","PHS167-GHLM1","Northern Jarrah Forest","PHS167",1.8,0.21879612924389,26,6.5,0.185858585858586,0.108007146337502,0.148484594500705,"M","M",0
"94","PHS167-GWH3","Northern Jarrah Forest","PHS167",2.3,0.441890166028097,29,3,0.300180831826401,0.299435028248588,0.313751662838473,"H","H",0
"95","PHS167-GHH1","Northern Jarrah Forest","PHS167",2.3,0.360392798690671,33,8.5,0.229989868287741,0.162790697674419,0.245317849268781,"H","H",0
"96","PHS167-ub148","Northern Jarrah Forest","PHS167",0,0.0324933687002653,18,9,-0.00158371040723981,0.0104353011329756,0.0219287646318563,"U","M",2
"97","PHS167-ub149","Northern Jarrah Forest","PHS167",0,0.0581896551724138,13,6.5,0.00467047223663725,-0.00377877018206802,0.0404516198626443,"U","U",0
"98","PHS156-WB1","Northern Jarrah Forest","PHS156",0,0.199349945828819,2,-9.5,0.0325590629342862,0.259210526315789,0.117728128641014,"U","U",0
